genome,crisprcas_spacer_number
GCA_000007385.1_ASM738v1,59
GCA_000010025.1_ASM1002v1,48
GCA_000168315.3_ASM16831v3,1
GCA_000212755.3_ASM21275v3,1
GCA_000940825.1_ASM94082v1,4
GCA_000948075.1_ASM94807v1,87
GCA_001021915.1_ASM102191v1,74
GCA_001042735.1_ASM104273v1,1
GCA_001042745.1_ASM104274v1,0
GCA_001042775.1_ASM104277v1,0
GCA_001042795.1_ASM104279v1,4
GCA_001042815.1_ASM104281v1,4
GCA_001042835.1_ASM104283v1,4
GCA_001042855.1_ASM104285v1,0
GCA_001276975.2_ASM127697v2,1
GCA_001466505.1_ASM146650v1,1
GCA_001518895.1_ASM151889v1,85
GCA_001746595.1_ASM174659v1,67
GCA_001746615.1_ASM174661v1,85
GCA_001746655.1_ASM174665v1,87
GCA_001746675.1_ASM174667v1,74
GCA_001746695.1_ASM174669v1,79
GCA_001746715.1_ASM174671v1,84
GCA_001746735.1_ASM174673v1,77
GCA_001927405.2_ASM192740v2,90
GCA_001927545.2_ASM192754v2,88
GCA_001927725.2_ASM192772v2,89
GCA_001927795.2_ASM192779v2,89
GCA_001927855.2_ASM192785v2,69
GCA_001928005.2_ASM192800v2,89
GCA_001928035.2_ASM192803v2,86
GCA_001928095.2_ASM192809v2,87
GCA_001928165.2_ASM192816v2,93
GCA_001928175.2_ASM192817v2,85
GCA_001928215.2_ASM192821v2,92
GCA_001928355.2_ASM192835v2,90
GCA_001928485.2_ASM192848v2,42
GCA_001928525.2_ASM192852v2,84
GCA_001928585.2_ASM192858v2,89
GCA_001928695.2_ASM192869v2,64
GCA_001928825.2_ASM192882v2,64
GCA_001928835.2_ASM192883v2,22
GCA_001928985.2_ASM192898v2,64
GCA_001928995.2_ASM192899v2,86
GCA_001929015.2_ASM192901v2,58
GCA_001929065.2_ASM192906v2,33
GCA_001929075.2_ASM192907v2,28
GCA_001929085.2_ASM192908v2,33
GCA_001929095.2_ASM192909v2,64
GCA_001929155.2_ASM192915v2,64
GCA_001929165.2_ASM192916v2,64
GCA_001929235.2_ASM192923v2,90
GCA_002023005.1_ASM202300v1,82
GCA_002850075.1_ASM285007v1,0
GCA_002850175.1_ASM285017v1,0
GCA_002895725.2_ASM289572v2,94
GCA_003031365.1_ASM303136v1,0
GCA_003031385.1_ASM303138v1,0
GCA_003122405.1_ASM312240v1,61
GCA_003351825.1_ASM335182v1,61
GCA_003382775.1_ASM338277v1,25
GCA_003382795.1_ASM338279v1,98
GCA_003382815.1_ASM338281v1,98
GCA_003382835.1_ASM338283v1,98
GCA_003382855.1_ASM338285v1,48
GCA_003382875.1_ASM338287v1,63
GCA_003382895.1_ASM338289v1,75
GCA_003382935.1_ASM338293v1,89
GCA_003427055.1_ASM342705v1,89
GCA_003428965.1_ASM342896v1,94
GCA_003522605.1_ASM352260v1,71
GCA_003932075.1_ASM393207v1,94
GCA_004136375.1_ASM413637v1,68
GCA_004136395.1_ASM413639v1,98
GCA_004319445.1_ASM431944v1,0
GCA_004319465.1_ASM431946v1,41
GCA_004319485.1_ASM431948v1,60
GCA_004319505.1_ASM431950v1,1
GCA_004322835.1_ASM432283v1,0
GCA_004355345.1_ASM435534v1,0
