ID_names,ID,genus,species,chosen_genome,genome,element type,integration site,mob_type
AE008923.1_-_ICE_guaA,AE008923.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000007165.1,ICE,guaA,mobH
CP004399.1_-_ICE_guaA,CP004399.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000348585.1,ICE,guaA,mobH
CP006857.1_-_ICE_guaA,CP006857.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000816885.1,ICE,guaA,mobH
CP008989.1_-_ICE_guaA,CP008989.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961155.1,ICE,guaA,mobH
CP008992.1_-_ICE_guaA,CP008992.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961175.1,ICE,guaA,mobH
CP008995.1_-_ICE_guaA,CP008995.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961195.1,ICE,guaA,mobH
CP008998.1_-_ICE_guaA,CP008998.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961215.1,ICE,guaA,mobH
CP009001.1_-_ICE_guaA,CP009001.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961235.1,ICE,guaA,mobH
CP009004.1_-_ICE_guaA,CP009004.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961255.1,ICE,guaA,mobH
CP009007.1_-_ICE_guaA,CP009007.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961275.1,ICE,guaA,mobH
CP009010.1_-_ICE_guaA,CP009010.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961295.1,ICE,guaA,mobH
CP009013.1_-_ICE_guaA,CP009013.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961315.1,ICE,guaA,mobH
CP009016.1_-_ICE_guaA,CP009016.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961335.1,ICE,guaA,mobH
CP009019.1_-_ICE_guaA,CP009019.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961355.1,ICE,guaA,mobH
CP009022.1_-_ICE_guaA,CP009022.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961375.1,ICE,guaA,mobH
CP009025.1_-_ICE_guaA,CP009025.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961395.1,ICE,guaA,mobH
CP009028.1_-_ICE_guaA,CP009028.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_000961415.1,ICE,guaA,mobH
CP011827.2_-_ICE_guaA,CP011827.2 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_001028285.3,ICE,guaA,mobH
CP018847.1_-_ICE_guaA,CP018847.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_001922045.1,ICE,guaA,mobH
CP018850.1_-_ICE_guaA,CP018850.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_001922085.1,ICE,guaA,mobH
CP018854.1_-_ICE_guaA,CP018854.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_001922065.1,ICE,guaA,mobH
CP018858.1_-_ICE_guaA,CP018858.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_001922105.1,ICE,guaA,mobH
CP020885.1_-_ICE_guaA,CP020885.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_002139955.1,ICE,guaA,mobH
CP023285.1_-_ICE_guaA,CP023285.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_002952295.1,ICE,guaA,mobH
CP023661.1_-_ICE_guaA,CP023661.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_003665475.1,ICE,guaA,mobH
CP023662.1_-_ICE_guaA,CP023662.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_003665455.1,ICE,guaA,mobH
CP059992.1_-_ICE_guaA,CP059992.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_019434355.1,ICE,guaA,mobH
CP059999.1_-_ICE_guaA,CP059999.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_019434315.1,ICE,guaA,mobH
CP060002.1_-_ICE_guaA,CP060002.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_019434335.1,ICE,guaA,mobH
CP060446.1_-_ICE_guaA_extended,CP060446.1 - ICE guaA extended,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_016801675.1,ICE,guaA,mobH
CP060453.1_-_ICE_gua_extended,CP060453.1 - ICE gua extended,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_016801695.1,ICE,gua,mobH
CP060470.1_-_ICE_guaA_extended,CP060470.1 - ICE guaA extended,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_016801655.1,ICE,guaA,mobH
CP060476.1_-_ICE_guaA_crippled,CP060476.1 - ICE guaA crippled,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_016801715.1,ICE,guaA,mobH
CP062255.2_-_ICE_guaA,CP062255.2 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_015224665.2,ICE,guaA,mobH
CP075325.1_-_ICE_guaA,CP075325.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_019076985.1,ICE,guaA,mobH
CP096227.1_-_ICE_guaA,CP096227.1 - ICE guaA,Xanthomonas,cissicola,AE008923.1 - ICE guaA,GCA_023205075.1,ICE,guaA,mobH
CP003778.1_-_ICE_tbd,CP003778.1 - ICE tbd,Xanthomonas,cissicola,CP003778.1 - ICE tbd,GCA_000349225.1,ICE,tbd,mobH
