replicon_clean,crispr-cas
GCA_000007385_1,yes
GCA_000010025_1,yes
GCA_000019585_2,yes
GCA_000948075_1,yes
GCA_001021915_1,yes
GCA_001518895_1,yes
GCA_001746595_1,yes
GCA_001746615_1,yes
GCA_001746635_1,yes
GCA_001746655_1,yes
GCA_001746675_1,yes
GCA_001746695_1,yes
GCA_001746715_1,yes
GCA_001746735_1,yes
GCA_001927405_2,yes
GCA_001927545_2,yes
GCA_001927725_2,yes
GCA_001927795_2,yes
GCA_001927855_2,yes
GCA_001928005_2,yes
GCA_001928035_2,yes
GCA_001928095_2,yes
GCA_001928165_2,yes
GCA_001928175_2,yes
GCA_001928215_2,yes
GCA_001928355_2,yes
GCA_001928485_2,yes
GCA_001928525_2,yes
GCA_001928585_2,yes
GCA_001928695_2,yes
GCA_001928825_2,yes
GCA_001928835_2,yes
GCA_001928905_2,yes
GCA_001928985_2,yes
GCA_001928995_2,yes
GCA_001929005_2,yes
GCA_001929015_2,yes
GCA_001929065_2,yes
GCA_001929075_2,yes
GCA_001929085_2,yes
GCA_001929095_2,yes
GCA_001929155_2,yes
GCA_001929165_2,yes
GCA_001929235_2,yes
GCA_001929245_2,yes
GCA_002023005_1,yes
GCA_002895725_2,yes
GCA_003122405_1,yes
GCA_003351825_1,yes
GCA_003351845_1,yes
GCA_003382775_1,yes
GCA_003382795_1,yes
GCA_003382815_1,yes
GCA_003382835_1,yes
GCA_003382855_1,yes
GCA_003382875_1,yes
GCA_003382895_1,yes
GCA_003382915_1,yes
GCA_003382935_1,yes
GCA_003427055_1,yes
GCA_003428965_1,yes
GCA_003522605_1,yes
GCA_003932055_1,yes
GCA_003932075_1,yes
GCA_004136375_1,yes
GCA_004136395_1,yes
GCA_004319465_1,yes
GCA_004319485_1,yes
GCA_004355705_1,yes
GCA_004355725_1,yes
GCA_004355745_1,yes
GCA_004355765_2,yes
GCA_004355785_1,yes
GCA_004355805_1,yes
GCA_004355825_1,yes
GCA_004355845_1,yes
GCA_004355865_1,yes
GCA_004355885_3,yes
GCA_009707765_1,yes
GCA_011045315_1,yes
GCA_011604745_1,yes
GCA_011604765_1,yes
GCA_011604785_1,yes
GCA_016864875_1,yes
GCA_017577225_1,yes
GCA_018288775_1,yes
GCA_018310515_1,yes
GCA_019915985_1,yes
GCA_020790135_1,yes
GCA_020866785_1,yes
GCA_020866865_1,yes
GCA_021228635_1,yes
GCA_022409615_1,yes
GCA_023586865_1,yes
GCA_023650685_1,yes
GCA_024499285_1,yes
GCA_025264145_1,yes
GCA_027257035_1,yes
GCA_028752255_1,yes
GCA_028752275_1,yes
GCA_028752295_1,yes
GCA_028752315_1,yes
GCA_028752335_1,yes
GCA_028752355_1,yes
GCA_028752375_1,yes
GCA_028752395_1,yes
GCA_028752415_1,yes
GCA_028752435_1,yes
GCA_028752455_1,yes
GCA_028752475_1,yes
GCA_028752495_1,yes
GCA_028752515_1,yes
GCA_028752535_1,yes
GCA_029026945_1,yes
GCA_029026965_1,yes
GCA_029026985_1,yes
GCA_029027105_1,yes
GCA_029204245_1,yes
GCA_029204265_1,yes
GCA_029204285_1,yes
GCA_029542325_1,yes
GCA_037846825_1,yes
GCA_039555255_1,yes
GCA_040202795_2,yes
GCA_000221965_1_ASM22196v1,yes
GCA_013388375_1_ASM1338837v1,yes
GCA_028749565_1_ASM2874956v1,yes
GCA_028749665_1_ASM2874966v1,yes
GCA_028749685_1_ASM2874968v1,yes
GCA_028749745_1_ASM2874974v1,yes
GCA_040193835_2_ASM4019383v2,yes
GCA_040194535_2_ASM4019453v2,yes
GCA_045688885_1_ASM4568888v1,yes
GCA_045688895_1_ASM4568889v1,yes
GCA_045707235_1_ASM4570723v1,yes
GCA_045707245_1_ASM4570724v1,yes
GCA_045708065_1_ASM4570806v1,yes
GCA_045708995_1_ASM4570899v1,yes
GCA_045710605_1_ASM4571060v1,yes
GCA_045710655_1_ASM4571065v1,yes
GCA_045713235_1_ASM4571323v1,yes
GCA_045713245_1_ASM4571324v1,yes
GCA_045714365_1_ASM4571436v1,yes
GCA_045714975_1_ASM4571497v1,yes
GCA_045714985_1_ASM4571498v1,yes
GCA_045714995_1_ASM4571499v1,yes
GCA_045715765_1_ASM4571576v1,yes
GCA_045715775_1_ASM4571577v1,yes
GCA_045715785_1_ASM4571578v1,yes
GCA_045716495_1_ASM4571649v1,yes
GCA_045716505_1_ASM4571650v1,yes
GCA_045716515_1_ASM4571651v1,yes
GCA_045717255_1_ASM4571725v1,yes
GCA_045717265_1_ASM4571726v1,yes
GCA_045717875_1_ASM4571787v1,yes
GCA_045717895_1_ASM4571789v1,yes
GCA_045718505_1_ASM4571850v1,yes
GCA_045718515_1_ASM4571851v1,yes
GCA_045718525_1_ASM4571852v1,yes
GCA_045719095_1_ASM4571909v1,yes
GCA_045719105_1_ASM4571910v1,yes
GCA_045719825_1_ASM4571982v1,yes
GCA_045720275_1_ASM4572027v1,yes
GCA_045720285_1_ASM4572028v1,yes
GCA_045720795_1_ASM4572079v1,yes
GCA_045720805_1_ASM4572080v1,yes
GCA_045724465_1_ASM4572446v1,yes
GCA_045724475_1_ASM4572447v1,yes
GCA_045726135_1_ASM4572613v1,yes
