Genome ID,Species,pathovar,Number of IMEs,Number of ICEs,Number of conjugative plasmids,Number of mobilizable plasmids,Number of plasmids
GCA_000007145.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_000012105.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_000070605.1,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_000221965.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_000401735.2,Xanthomonas campestris,pv. campestris,2,0,1,0,1
GCA_000403575.2,Xanthomonas campestris,pv. campestris,2,0,1,0,1
GCA_001186415.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_001186465.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_002776715.1,Xanthomonas campestris,pv. campestris,1,1,0,0,0
GCA_002776735.1,Xanthomonas campestris,pv. campestris,2,1,1,0,1
GCA_002776775.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_002776835.1,Xanthomonas campestris,pv. campestris,2,0,1,0,1
GCA_002879955.1,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_009177325.1,Xanthomonas campestris,pv. campestris,1,0,1,0,1
GCA_009177345.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_013388375.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_014841015.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_020008105.1,Xanthomonas campestris,pv. incanae,1,0,0,0,0
GCA_020813315.3,Xanthomonas campestris,pv. barbareae,1,0,0,0,0
GCA_021459985.1,Xanthomonas campestris,pv. campestris,5,1,0,0,0
GCA_021777195.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_021777455.1,Xanthomonas campestris,pv. campestris,4,0,0,0,0
GCA_023206795.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_024298585.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_024298605.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_024298625.1,Xanthomonas campestris,pv. campestris,1,1,1,0,1
GCA_024298645.1,Xanthomonas campestris,pv. campestris,0,0,1,0,1
GCA_024298665.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_024298685.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_025853835.1,Xanthomonas campestris,pv. campestris,2,0,1,0,1
GCA_028749545.1,Xanthomonas campestris,pv. campestris,2,0,1,0,1
GCA_028749565.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_028749585.1,Xanthomonas campestris,,1,0,0,0,0
GCA_028749605.1,Xanthomonas campestris,pv. incanae,2,0,1,0,1
GCA_028749625.1,Xanthomonas campestris,pv. barbareae,1,0,0,0,0
GCA_028749645.1,Xanthomonas campestris,pv. incanae,1,0,0,0,0
GCA_028749665.1,Xanthomonas campestris,pv. raphani,0,0,1,0,1
GCA_028749685.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_028749705.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_028749725.1,Xanthomonas campestris,pv. raphani,0,1,0,0,0
GCA_028749745.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_028749765.1,Xanthomonas campestris,pv. campestris,4,0,0,0,0
GCA_028749785.1,Xanthomonas campestris,pv. campestris,1,1,1,0,1
GCA_028749805.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_028749825.1,Xanthomonas campestris,pv. campestris,2,0,1,0,1
GCA_028749845.1,Xanthomonas campestris,pv. campestris,4,0,0,0,0
GCA_028749865.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_028749885.1,Xanthomonas campestris,pv. campestris,3,1,0,0,0
GCA_028749905.1,Xanthomonas campestris,pv. campestris,1,0,1,0,1
GCA_028749925.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_028749945.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_028750015.1,Xanthomonas campestris,pv. campestris,4,0,1,0,1
GCA_028750035.1,Xanthomonas campestris,pv. campestris,1,1,0,0,0
GCA_028750055.1,Xanthomonas campestris,pv. incanae,2,0,1,0,1
GCA_028750075.1,Xanthomonas campestris,pv. barbareae,0,1,0,0,0
GCA_028750095.1,Xanthomonas campestris,pv. incanae,2,0,1,0,1
GCA_028750115.1,Xanthomonas campestris,pv. incanae,3,0,1,0,1
GCA_028750135.1,Xanthomonas campestris,pv. barbareae,1,0,2,0,2
GCA_028750155.1,Xanthomonas campestris,pv. campestris,0,0,1,0,1
GCA_028750275.1,Xanthomonas campestris,pv. incanae,3,0,0,0,0
GCA_028750335.1,Xanthomonas campestris,pv. barbareae,1,0,0,0,0
GCA_028750355.1,Xanthomonas campestris,pv. campestris,2,0,1,0,1
GCA_028750375.1,Xanthomonas campestris,pv. campestris,2,1,1,0,1
GCA_028750395.1,Xanthomonas campestris,pv. campestris,2,0,1,0,1
GCA_028750415.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_028750435.1,Xanthomonas campestris,pv. campestris,3,1,0,0,0
GCA_028750455.1,Xanthomonas campestris,pv. campestris,3,1,0,0,0
GCA_028750515.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_028750535.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_028750555.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_028750575.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_028750595.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_028750615.1,Xanthomonas campestris,pv. campestris,2,1,1,0,1
GCA_028750635.1,Xanthomonas campestris,pv. campestris,2,1,0,0,0
GCA_028750655.1,Xanthomonas campestris,pv. campestris,2,1,1,0,1
GCA_028751215.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_028751235.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_028751255.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_028751275.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_028751295.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_028751315.1,Xanthomonas campestris,pv. campestris,1,0,1,0,1
GCA_028751335.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_028751355.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_028751375.1,Xanthomonas campestris,pv. campestris,2,0,1,0,1
GCA_028751395.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_028751435.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_028751465.1,Xanthomonas campestris,pv. campestris,3,1,0,0,0
GCA_028751505.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_030053615.1,Xanthomonas campestris,pv. campestris,2,1,0,0,0
GCA_030053635.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_030062415.1,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_030062435.1,Xanthomonas campestris,pv. campestris,5,1,1,0,1
GCA_030062465.1,Xanthomonas campestris,pv. campestris,5,1,0,0,0
GCA_030062515.1,Xanthomonas campestris,pv. campestris,5,0,0,0,0
GCA_030848325.1,Xanthomonas campestris,pv. campestris,5,1,0,0,0
GCA_035025505.3,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_035025885.2,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_035027565.3,Xanthomonas campestris,pv. campestris,3,1,0,0,0
GCA_035027605.3,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_035059395.2,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_035059585.2,Xanthomonas campestris,pv. campestris,5,1,1,0,1
GCA_040193835.2,Xanthomonas campestris,,0,0,0,0,0
GCA_040194035.2,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_040194315.2,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_040194335.2,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_040194535.2,Xanthomonas campestris,,2,0,0,0,0
GCA_040194615.2,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_040194835.2,Xanthomonas campestris,pv. incanae,2,0,1,0,1
GCA_041475695.1,Xanthomonas campestris,,3,0,0,0,0
GCA_041475775.1,Xanthomonas campestris,pv. campestris,4,0,0,0,0
GCA_041889105.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_045688885.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045688895.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045688925.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045688945.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045688965.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045707235.1,Xanthomonas campestris,pv. raphani,1,1,0,0,0
GCA_045707245.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045707255.1,Xanthomonas campestris,pv. campestris,3,1,0,0,0
GCA_045708065.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045708075.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045708145.1,Xanthomonas campestris,,2,0,0,0,0
GCA_045708995.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045709045.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_045709075.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045709785.1,Xanthomonas campestris,pv. campestris,1,1,0,0,0
GCA_045709795.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045709885.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_045710605.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045710645.1,Xanthomonas campestris,pv. campestris,2,1,0,0,0
GCA_045710655.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
